quote_id,year,make,model,mileage,location_zip,percent_to_market,market_avg_days_to_sell,n_similar_vehicles_listed,region_short_code,exact_list_price,wholesale_price,seller_source,expected_margin
0061a00000GZsY8AAL,2012,Scion,tC,67850,94022,0.940326152,88,47,us/sfo,11358,8700,shift.com,0
0061a00000F7X4lAAF,2006,Toyota,Tacoma,120400,94107,0.93519453,47,102,us/sfo,15220,11900,shift.com,3450
0061a00000FttwmAAB,2014,Dodge,Journey,28600,90049,0.955719563,46,173,us/lax,16385,13550,shift.com,0
0061a00000F8F2yAAF,2015,Honda,Accord,12000,94518,0.966639796,148,351,us/sfo,19355,17350,shift.com,1300
0061a00000F810VAAR,2010,Nissan,Sentra,50000,90402,0.925793869,41,82,us/lax,9188,5975,shift.com,2375
0061a00000GXEkqAAH,2013,Subaru,Outback,39500,22042,0.966587604,62,20,us/was,23745,22200,shift.com,0
0061a00000GBrbsAAD,2011,BMW,M3,42925,92625,0.952788053,111,46,us/sna,36978,34800,shift.com,0
0061a00000FaxYhAAJ,2011,Chevrolet,Cruze,46000,94301,0.945358967,79,29,us/sfo,10289,8775,shift.com,0
0061a00000GBbsgAAD,2012,Ford,Mustang,37920,95139,0.951909185,67,108,us/sfo,15896,12650,shift.com,2300
0061a00000FwNrIAAV,2013,Toyota,RAV4,31000,94568,0.962856406,83,281,us/sfo,20014,17550,shift.com,0
0061a00000FJYpyAAH,2012,Acura,TSX,75000,94304,0.952929027,60,250,us/sfo,16172,12750,shift.com,500
0061a00000H2KVtAAN,2015,Audi,Q3,10844,94022,0.972678729,32,6,us/sfo,32013,28300,shift.com,0
0061a00000F8MUMAA3,2012,Dodge,Charger,58000,94117,0.959577189,70,347,us/sfo,16063,12500,shift.com,1150
0061a00000FwuGSAAZ,2014,Honda,Pilot,40735,94022,0.971954659,65,178,us/sfo,30365,26800,shift.com,0
0061a00000EvZ2XAAV,2013,Audi,Q7,18500,91403,0.9759415,73,44,us/lax,38450,35000,shift.com,0
0061a00000F7oFGAAZ,2012,BMW,X5,45000,91775,0.968751509,66,30,us/lax,29402,27000,shift.com,0
0061a00000FvdqpAAB,2015,Toyota,Camry,30817,94022,0.959133206,73,2340,us/sfo,16773,13700,shift.com,0
0061a00000EuzIqAAJ,2008,Honda,Civic,80000,94538,0.929773432,43,260,us/sfo,9204,5925,shift.com,3025
0061a00000Ga8eMAAR,2014,BMW,X1,29576,94022,0.95879717,61,56,us/sfo,22679,18900,shift.com,0
0061a00000GBLdtAAH,2011,Mercedes-Benz,E-Class,90000,92694,0.959212822,83,174,us/sna,19291,15650,shift.com,0
0061a00000G6xgtAAB,2015,Chrysler,200,34330,94022,0.951403132,79,5316,us/sfo,14739,11000,shift.com,0
0061a00000GArudAAD,2013,Scion,xB,21654,94022,0.967787761,170,114,us/sfo,13820,11550,shift.com,0
0061a00000FauVKAAZ,2014,Mazda,Mazda6,25000,20002,0.960191557,69,68,us/was,16973,14300,shift.com,-350
0061a00000GBVDmAAP,2015,Mazda,Mazda5,30567,94022,0.973209215,66,928,us/sfo,14981,12300,shift.com,0
0061a00000GZetRAAT,2015,Honda,Accord,16003,94022,0.972289022,90,14,us/sfo,24173,20700,shift.com,0
0061a00000GZ31TAAT,2012,Nissan,Altima,45645,94109,0.931931183,87,1146,us/sfo,11505,8300,shift.com,0
0061a00000F81ZzAAJ,2011,Mazda,Mazda3,52000,95126,0.95866108,48,55,us/sfo,16086,12750,shift.com,3200
0061a00000FbCnpAAF,2010,Chevrolet,Equinox,78000,90640,0.952584505,64,293,us/lax,12504,9050,shift.com,1300
0061a00000FvGlWAAV,2014,Mercedes-Benz,CLA-Class,31650,92663,0.978002783,102,23,us/sna,39326,37200,shift.com,0
0061a00000GQrs0AAD,2011,Lexus,RX,25000,95070,0.969061612,106,89,us/sfo,27052,24700,iOS,0
0061a00000GWWJ0AAP,2007,Toyota,Yaris,92000,94536,0.914469813,48,60,us/sfo,6810,3525,shift.com,0
0061a00000FvDQoAAN,2012,Honda,Pilot,35000,94025,0.968768783,51,405,us/sfo,26495,23600,shift.com,0
0061a00000FudnRAAR,2011,Mercedes-Benz,E-Class,12000,92708,0.963219389,67,222,us/sna,26035,24500,shift.com,0
0061a00000FwRXEAA3,2007,Hyundai,Azera,68000,90638,0.922514363,78,16,us/sna,8207,5025,shift.com,0
0061a00000GoUvfAAF,2009,Toyota,Camry,75000,91325,0.938204311,57,474,us/lax,9483,6450,shift.com,0
0061a00000FwgaQAAR,2013,Subaru,Forester,43306,94611,0.962377687,71,280,us/sfo,18741,16150,iOS,0
0061a00000GXWWeAAP,2015,Chevrolet,Corvette,18000,94040,0.980185116,296,42,us/sfo,50485,45500,shift.com,0
0061a00000FwXltAAF,2010,Chrysler,Sebring,72000,94591,0.939136851,0,6,us/sfo,11613,8050,shift.com,-800
0061a00000FarG9AAJ,2012,Lexus,CT,52000,94121,0.96596863,88,99,us/sfo,17827,14250,shift.com,0
0061a00000GXIRvAAP,2010,Honda,Fit,58000,91789,0.936750978,69,269,us/lax,10163,7825,shift.com,0
0061a00000Fw8ocAAB,2015,Mini,Cooper S,4500,94705,0.960684158,51,8,us/sfo,25927,22000,shift.com,2650
0061a00000GRAoEAAX,2011,Mercedes-Benz,C-Class,35411,94022,0.962987482,261,37,us/sfo,16819,13150,shift.com,0
0061a00000GCmOlAAL,2012,Fiat,500,34310,94022,0.93179722,49,158,us/sfo,9209,5900,shift.com,0
0061a00000F86tIAAR,2015,Ford,Fusion,33102,94022,0.951896501,49,43,us/sfo,19332,15000,shift.com,0
0061a00000Ev6B8AAJ,2011,Ford,Explorer,25000,94566,0.95815027,57,212,us/sfo,24414,21500,shift.com,0
0061a00000FNKKVAA5,2014,Nissan,Sentra,18741,94513,0.95718182,57,934,us/sfo,14091,10400,shift.com,3250
0061a00000EvFjnAAF,2012,BMW,1 Series,48000,94114,0.968312539,100,37,us/sfo,21907,19500,shift.com,0
0061a00000GoU4JAAV,2009,Chevrolet,Silverado 1500,48000,94503,0.939896878,55,22,us/sfo,19117,18050,shift.com,0
0061a00000Fv5asAAB,2010,Toyota,Corolla,68000,20164,0.938463417,63,1328,us/was,9502,6425,shift.com,0
0061a00000GZfd3AAD,2013,Hyundai,Sonata,21887,94022,0.950620625,74,195,us/sfo,16105,12650,shift.com,0
0061a00000GpSzWAAV,2013,BMW,3 Series,26518,94022,0.967276937,150,149,us/sfo,30542,27400,shift.com,0
0061a00000F7Nq2AAF,2012,Chevrolet,Volt,41094,94117,0.951424121,80,34,us/sfo,13769,10200,iOS,4150
0061a00000GByr2AAD,2008,Lexus,ES,78000,94588,0.951285565,104,171,us/sfo,14020,11050,shift.com,0
0061a00000GoTgiAAF,2013,Volkswagen,Golf,38114,94022,0.975175242,147,29,us/sfo,24992,0,shift.com,0
0061a00000FaovhAAB,2014,Mercedes-Benz,GLK-Class,22718,94022,0.964010217,52,144,us/sfo,31497,26800,shift.com,0
0061a00000HAimGAAT,2013,Toyota,Prius,35540,94022,0.95688364,73,532,us/sfo,16079,13150,shift.com,0
0061a00000FvPpsAAF,2015,Volkswagen,GTI,20000,94110,0.967392697,20,7,us/sfo,24586,19800,shift.com,2550
0061a00000Fwy2cAAB,2016,Honda,Civic,2,94022,0.963087557,86,187,us/sfo,19190,16450,shift.com,0
0061a00000Fv1VgAAJ,2015,Volkswagen,GTI,14557,94022,0.97078283,24,22,us/sfo,22361,18900,shift.com,0
0061a00000Fv1EQAAZ,2014,Chevrolet,Camaro,23000,91311,0.962608974,87,31,us/lax,21081,19600,shift.com,0
0061a00000FuiMDAAZ,2012,Nissan,Altima,80000,90505,0.944054044,67,1274,us/sna,10955,7600,shift.com,1050
0061a00000F8XWYAA3,2012,Honda,Civic,70100,94568,0.954830224,70,269,us/sfo,12605,10500,shift.com,0
0061a00000F8CNYAA3,2006,Honda,Civic,123000,94403,0.919062642,44,89,us/sfo,7399,4225,shift.com,3725
0061a00000EvOSMAA3,2005,Porsche,911,67400,94002,0.963036885,118,36,us/sfo,35576,26900,shift.com,0
0061a00000Fue2vAAB,2013,Hyundai,Sonata,60075,94086,0.960190818,55,2501,us/sfo,12458,9500,shift.com,-500
0061a00000F71SwAAJ,2008,BMW,3 Series,91500,94110,0.93693547,69,53,us/sfo,13045,9600,shift.com,3050
0061a00000Fv8uHAAR,2013,BMW,X1,29589,94022,0.955767874,62,149,us/sfo,22956,20900,shift.com,0
0061a00000Ga5W3AAJ,2007,Acura,TL,85000,92612,0.939470286,59,55,us/sna,10881,7725,shift.com,0
0061a00000GQtlPAAT,2006,Scion,xB,89000,94112,0.903407575,59,209,us/sfo,6543,2975,shift.com,3675
0061a00000F7Mb1AAF,2014,Kia,Soul,37860,94022,0.952675771,65,98,us/sfo,13581,10500,shift.com,0
0061a00000Fb9eFAAR,2014,Honda,CR-V,19500,94560,0.970446032,47,76,us/sfo,21813,19450,shift.com,0
0061a00000Fv7kDAAR,2014,BMW,X3,5700,94118,0.972485957,72,31,us/sfo,38137,37300,shift.com,0
0061a00000GX2x6AAD,2007,Toyota,Prius,122000,90266,0.931073688,73,84,us/lax,6613,3725,shift.com,0
0061a00000GoxjoAAB,2015,Honda,Civic,20300,94117,0.967589338,70,294,us/sfo,16676,13150,iOS,0
0061a00000Fts5DAAR,2011,Kia,Sedona,79000,20008,0.948626898,54,42,us/was,9708,6400,shift.com,0
0061a00000GXy7GAAT,2004,Toyota,Prius,80000,94070,0.908392268,43,62,us/sfo,6473,3400,shift.com,0
0061a00000F7KH7AAN,2006,Infiniti,M45,87931,90254,0.942200422,65,35,us/lax,12657,9425,shift.com,1525
0061a00000GZ40zAAD,2014,Toyota,Corolla,36000,94551,0.964387727,127,29,us/sfo,13410,11350,shift.com,0
0061a00000GZNtsAAH,2013,Toyota,RAV4,42574,94022,0.968401543,88,502,us/sfo,19410,16800,shift.com,0
0061a00000GoMDhAAN,2014,Subaru,XV Crosstrek,40000,94112,0.96670464,110,94,us/sfo,20111,17900,shift.com,0
0061a00000FuY6UAAV,2015,Toyota,Corolla,20150,94022,0.945244483,77,450,us/sfo,14863,11400,shift.com,0
0061a00000GZBVIAA5,2013,BMW,3 Series,50000,93063,0.960318417,71,183,us/lax,18831,15000,shift.com,0
0061a00000F84VsAAJ,2011,Hyundai,Sonata,58300,94025,0.951446523,73,132,us/sfo,13307,10750,shift.com,900
0061a00000GXyiWAAT,2014,Toyota,Camry,39276,94022,0.959548489,55,1662,us/sfo,16416,12200,shift.com,0
0061a00000FayjQAAR,2013,Honda,Accord,35000,94117,0.962600783,56,444,us/sfo,20666,17850,shift.com,0
0061a00000H2TTjAAN,2015,Honda,Pilot,20689,94022,0.971115936,106,63,us/sfo,29689,27200,shift.com,0
0061a00000GoUV3AAN,2006,Cadillac,DTS,75000,94103,0.881509724,56,20,us/sfo,6567,0,shift.com,0
0061a00000FwpgWAAR,2013,Mazda,Mazda3,55700,91765,0.964581705,57,55,us/lax,12936,9750,shift.com,2600
0061a00000F7DnzAAF,2011,GMC,Acadia,77000,90503,0.961715548,90,130,us/lax,19590,16650,shift.com,0
0061a00000GZBaXAAX,2008,Toyota,Camry,94000,90803,0.931535547,60,441,us/sna,8910,5750,shift.com,0
0061a00000HArX3AAL,2012,Honda,Civic,35500,94114,0.951276724,50,876,us/sfo,12099,8450,shift.com,0
0061a00000G6xZOAAZ,2009,Infiniti,G37,64000,91748,0.945014666,115,134,us/lax,14316,10950,shift.com,-950
0061a00000EvH0RAAV,2013,Honda,CR-V,27336,94022,0.969399739,68,1095,us/sfo,19071,15450,shift.com,0
0061a00000GWFUPAA5,2012,Honda,Civic,40300,94024,0.959867958,0,8,us/sfo,13646,10800,shift.com,0
0061a00000FwxuEAAR,2010,BMW,5 Series,60511,94022,0.951851851,75,97,us/sfo,15983,12350,shift.com,0
0061a00000GZV6DAAX,2016,Hyundai,Tucson,3000,22311,0.944795235,82,21,us/was,23132,0,shift.com,0
0061a00000GYcknAAD,2012,Mini,Cooper S,42000,91016,0.950234914,64,98,us/lax,13261,11700,shift.com,0
0061a00000FvE5RAAV,2013,BMW,3 Series,33605,94022,0.958345637,49,352,us/sfo,23906,20100,shift.com,0
0061a00000FuuDuAAJ,2013,Honda,Civic,30000,94118,0.969900915,64,816,us/sfo,15778,12600,shift.com,0
0061a00000FPQWPAA5,2012,Subaru,Impreza,67000,95132,0.974625181,88,43,us/sfo,25846,21700,shift.com,3950
0061a00000GB77EAAT,2014,Toyota,Corolla,18000,94025,0.968352742,198,36,us/sfo,14326,11750,shift.com,0
